"ESTU";"REGISTRO";"ID_CIS";"MODE";"FECHAINI";"HORAINI";"FECHAFIN";"HORAFIN";"DURACION";"IDSCREEN";"CCAA";"PROV";"MUN";"TAMUNI";"NACIONALIDAD";"PAIS_NACIONALIDAD";"SEXO";"BIRTH";"MES_NACIMIENTO";"DECADA";"URBRURAL";"INTERNET";"QTIME_1";"QTIME_2";"QTIME_3";"INTERNETHH";"INTERNETMM";"C_SATISFVIDA";"HORA_INCIO_V";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V26A";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"VEGET_VEGAN";"UNION_1";"INTPOL";"LEFT_RIGHT";"IDEOL_CATEG_1";"IDEOL_CATEG_2";"IDEOL_CATEG_OTRA_1";"IDEOL_CATEG_OTRA_2";"LUGAR_NAC";"PAIS_NACIMIENTO";"YEAR_ARRIVAL";"PROV_NAC";"F_BORN";"F_BORN1";"M_BORN";"M_BORN1";"FATH_WORK";"FATH_ISCO08";"FATH_NAT_DEGR";"MOTH_WORK";"MOTH_ISCO08";"MOTH_NAT_DEGR";"GENDER_ID";"GENDER_ID_OTRA";"ORIENTAC_SEXUAL";"ORIENTAC_SEXUAL_OTRA";"NAT_DEGR";"EDUCYRS";"REPETICION";"EDAD_REPETICION";"TIPO_COLEGIO";"TIPO_COLEGIO_2";"WORK";"C_SATISFTRABAJO";"WRKHRS";"EMPREL";"WRKSUP";"NSUP";"TYPORG";"ISCO08";"NACE_2";"MAINSTAT_M_1";"MAINSTAT_M_2";"MAINSTAT_M_3";"MAINSTAT_M_4";"MAINSTAT_M_5";"MAINSTAT_M_6";"MAINSTAT_M_7";"MAINSTAT_M_8";"MAINSTAT_M_9";"MAINSTAT_M";"MAINSTAT";"PARTLIV";"SPNAT_DEGR";"SPWORK";"SPWRKHRS";"SPEMPREL";"SPWRKSUP";"SPISCO08";"SPNACE_2";"SPMAINST_M_1";"SPMAINST_M_2";"SPMAINST_M_3";"SPMAINST_M_4";"SPMAINST_M_5";"SPMAINST_M_6";"SPMAINST_M_7";"SPMAINST_M_8";"SPMAINST_M_9";"SPMAINST_M";"SPMAINST";"MARITAL";"CHILDREN";"NBCHLD_LS18_1";"NBCHLD_LS18_2";"NBCHLD_GT18_1";"NBCHLD_GT18_2";"CHILD_D";"NAT_RELIG";"NAT_RELIG_OTRA";"ATTEND";"TOPBOT";"TOPBOT_PADRES";"TOPBOT_HIJOS";"MERIT";"VOTE_LE";"NAT_PRTY";"NAT_PRTY_OTRO";"NAT_ETHN_1";"NAT_ETHN_2";"NAT_ETHN_OTRA_1";"NAT_ETHN_OTRA_2";"HOMPOP_TOT";"HMP_SB_1";"HMP_SB_2";"HMP_SB_3";"HMP_SB_4";"HMP_SB_5";"HMP_SB_6";"HMP_SB_7";"HMP_SB_8";"HMP_SB_9";"HMP_SB_10";"HMP_GD_1";"HMP_GD_2";"HMP_GD_3";"HMP_GD_4";"HMP_GD_5";"HMP_GD_6";"HMP_GD_7";"HMP_GD_8";"HMP_GD_9";"HMP_GD_10";"HMP_YR_1";"HMP_YR_2";"HMP_YR_3";"HMP_YR_4";"HMP_YR_5";"HMP_YR_6";"HMP_YR_7";"HMP_YR_8";"HMP_YR_9";"HMP_YR_10";"NAT_INC";"NAT_RINC";"DIFICULT_ECO";"HORA_FINC";"ENC1";"ENC2";"ENC2A_1";"ENC2A_2";"ENC2A_OTRA_1";"ENC2A_OTRA_2";"ENC3";"ENC3A_CAWI_1";"ENC3A_CAWI_2";"ENC3A_CAWI_3";"ENC3A_CAWI_4";"ENC3A_CAWI_5";"ENC3A_CAWI_6";"ENC3A_CAWI_96";"ENC3A_CAWI_99";"ENC3A_CAWI_OTRO_1";"ENC3A_CAWI_OTRO_2";"ENC3A_PAPEL_1";"ENC3A_PAPEL_2";"ENC3A_PAPEL_3";"ENC3A_PAPEL_4";"ENC3A_PAPEL_5";"ENC3A_PAPEL_6";"ENC3A_PAPEL_96";"ENC3A_PAPEL_99";"ENC3A_PAPEL_OTRO_1";"ENC3A_PAPEL_OTRO_2";"ENC4";"ENC4_OTRO";"ENC5";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C3";"IA_C4";"GRABADOR";"PARTIALS";"EDAD";"INTERNETOT";"FATH_OCUPAISCO08";"MOTH_OCUPAISCO08";"ESTUDIOS";"OCUPAISCO08";"RAMA";"SITLAB";"ISCO08R";"SPESTUDIOS";"OCUPASPISCO08";"SPRAMA";"SPSITLAB";"NBCHLD_TOT";"RELIGION";"RECUERDO";"NIVELEDU";"PESODIS";"PESO";"PESOFIN"
3506;363;6004;41;"24/03/2025";"11:01:23";"24/03/2025";"11:22:21";1255;"375;667";1;18;0;1;1;0;2;1998;4;0;4;5;1;1;0;4;36;3;"11:03:16";2;5;3;5;3;5;3;3;8;1;3;5;5;1;1;1;1;1;2;3;3;3;3;3;3;1;98;3;4;4;1;1;2;2;4;998;996;996;0;0;0;0;0;0;0;0;8;8;8;8;3;3;3;1;4;4;4;3;3;3;3;3;3;3;2;0;6;9;0;0;1;0;0;35;1;0;1;0;1;8331;3;1;5120;2;2;0;3;0;16;25;2;0;1;3;3;96;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;96;96;96;96;1;0;97;8;98;5;5;10;1;2;0;2;99;0;0;4;3;4;6;0;0;0;0;0;0;"";1;1;2;0;0;0;0;0;0;"";1972;2011;1981;0;0;0;0;0;0;"";3;1;3;"11:21:46";3;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"N.P.";24;3;25;1;21;1;1;0;0;0;1;0;1;0;0;1;26;4,6;8;5;7;0;0;2;16;0;0;0;0;0;1;2;4;0,99977;1,7216;1,21026
3506;941;6013;41;"06/04/2025";"20:35:06";"06/04/2025";"21:07:49";1681;"393;873";1;14;0;1;1;0;2;1977;3;0;4;5;1;1;0;0;30;8;"20:39:53";8;8;8;9;8;8;8;8;8;8;8;8;9;8;8;8;8;8;2;8;8;8;8;8;8;8;0;8;8;8;8;8;8;8;24;24;10;998;8;1;1;1;1;1;1;8;4;4;4;4;8;98;98;98;98;98;4;8;8;8;8;8;8;3;8;77;98;99;0;0;1;0;0;14;8;0;8;0;1;7110;98;8;9111;98;7;0;7;0;6;98;8;0;8;8;1;98;998;1;2;0;2;9112;87;"";"";"";"";"";"";"";"";1;9;0;1;98;1;998;8;8;8160;10;"";"";"";"";"";"";"";"";1;9;0;3;2;0;1;1;0;2;1;97;1;98;98;98;98;1;97;0;98;99;0;0;4;9;9;9;0;0;0;0;0;0;"";9;9;9;0;0;0;0;0;0;"";9999;9999;9999;0;0;0;0;0;0;"";77;77;8;"21:06:36";8;8;9;8;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"N.P.";6;4;25;7;29;4;1;0;0;0;1;0;1;0;0;1;48;0,5;7;9;3;9;4;9;9;8;8;2;9;2;2;97;2;0,99977;1,7216;2,02047
3506;1700;6014;41;"25/04/2025";"13:42:25";"25/04/2025";"14:23:47";1265;"393;873";1;41;0;1;1;0;2;1957;99;0;4;5;1;0;0;5;99;6;"13:43:37";2;2;3;4;4;5;3;3;2;1;2;4;4;2;1;3;2;3;2;3;3;3;3;3;3;1;8;3;3;5;1;2;2;2;10;0;996;996;0;0;0;0;0;0;0;0;8;8;8;8;2;2;4;3;2;2;4;3;3;3;2;3;3;2;2;3;6;99;0;0;1;0;0;41;1;0;1;0;2;7131;2;3;0;1;2;0;1;0;3;98;2;0;1;2;2;96;0;1;2;0;3;9112;81;0;0;0;0;0;0;1;0;0;7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;1;1;2;1;97;5;4;2;5;8;1;2;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;"";0;0;0;0;0;0;0;0;0;"";0;0;0;0;0;0;0;0;0;"";0;3;3;"14:23:12";3;2;0;0;0;0;2;2;2;1;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"N.P.";25;4;25;5;22;2;1;0;0;0;1;0;1;0;0;1;67;5,0;7;0;2;9;4;7;12;0;0;0;0;2;2;2;1;0,99977;1,7216;1,63975
3506;716;6017;41;"01/04/2025";"8:45:53";"01/04/2025";"17:29:21";4300;"393;873";1;41;0;1;1;0;1;1969;5;0;4;5;1;0;0;3;99;7;"8:48:21";1;4;4;5;5;5;3;3;1;8;2;9;5;1;1;1;1;1;4;3;3;3;3;3;3;1;12;2;8;3;2;2;2;8;15;998;5;0;4;2;5;4;2;3;2;3;2;1;4;3;2;98;7;2;98;5;2;2;3;3;2;3;3;3;3;3;9;4;0;0;1;0;0;41;1;0;1;0;7;0;0;3;0;1;1;0;1;0;8;15;1;15;1;3;1;5;50;1;1;20;3;1420;47;1;0;0;0;0;0;0;0;0;1;0;1;7;1;50;1;1;3115;47;1;2;2;2;2;2;2;2;2;1;0;3;5;0;1;2;2;5;0;97;8;4;3;3;8;1;2;0;1;2;0;0;4;1;2;2;0;0;0;0;0;0;"";2;1;2;0;0;0;0;0;0;"";1980;2004;2007;0;0;0;0;0;0;"";9;6;4;"17:28:01";3;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"N.P.";1;4;25;2;72;3;1;0;0;0;1;0;1;0;0;1;55;3,0;0;0;4;1;4;1;1;3;3;4;1;5;1;2;3;0,99977;1,7216;1,33362
3506;1776;6018;34;"N.P.";"N.P.";"N.P.";"N.P.";0;"N.P.";1;4;0;1;1;0;1;1962;6;0;4;5;1;0;0;2;99;6;"N.P.";1;4;3;3;3;4;2;3;1;1;4;3;2;1;2;2;1;1;2;4;3;3;3;3;3;8;0;2;4;6;2;2;2;8;998;15;30;998;3;5;3;3;5;4;5;4;8;8;8;8;4;2;2;3;4;4;4;3;2;3;3;3;3;3;3;2;6;4;0;0;1;0;0;4;1;0;1;0;1;9313;1;3;0;2;1;0;1;0;3;9;1;13;1;2;2;96;0;3;1;6;9;9998;41;0;0;0;0;0;1;0;0;0;6;0;1;6;2;0;1;2;9111;88;2;2;1;2;2;2;2;2;2;3;0;3;1;0;0;0;1;3;1;97;8;8;5;9;6;1;2;0;1;2;0;0;2;1;0;0;0;0;0;0;0;0;"";2;0;0;0;0;0;0;0;0;"";1966;0;0;0;0;0;0;0;0;"";2;2;2;"N.P.";3;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;"04/04/2025";4;4;25;5;0;0;1;0;0;0;1;0;1;0;0;1;62;2,0;9;0;2;98;3;6;15;3;9;4;3;1;2;2;1;0,99977;1,7216;1,08327
3506;342;6024;41;"23/03/2025";"18:20:27";"23/03/2025";"19:33:53";4214;"393;851";1;11;0;1;1;0;1;1966;9;0;4;2;6;6;6;96;96;5;"18:24:11";4;9;2;4;4;4;3;3;2;1;4;2;2;2;2;2;2;2;3;3;3;3;3;3;3;1;12;3;3;3;2;2;2;2;0;0;40;24;3;5;3;5;4;5;4;5;1;1;1;2;3;1;1;1;99;4;3;3;3;3;2;3;3;1;3;99;5;99;0;0;1;0;0;99;1;0;1;0;1;9211;99;3;0;99;1;0;1;0;99;11;1;7;1;3;1;5;40;1;2;0;1;5150;96;1;0;0;0;0;0;0;0;0;1;0;1;2;2;0;1;2;9999;999;2;1;2;2;2;2;2;2;2;2;0;3;2;0;0;2;0;2;44;44;8;3;6;4;7;1;2;0;26;99;26;0;3;1;2;0;0;0;0;0;0;0;"";2;1;0;0;0;0;0;0;0;"";1968;2009;0;0;0;0;0;0;0;"";4;4;3;"19:29:12";3;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"N.P.";23;3;25;7;71;3;1;0;0;0;1;0;1;0;0;1;58;96,0;9;0;9;5;4;1;5;1;99;9;2;2;3;2;9;0,99977;1,7216;2,53869
3506;193;6034;41;"21/03/2025";"11:23:56";"21/03/2025";"11:49:30";1532;"1920;1080";1;41;0;1;1;0;1;1994;12;0;4;5;0;0;1;98;98;7;"11:24:53";2;4;4;4;4;4;3;3;8;8;3;3;4;2;4;4;2;2;2;3;3;3;3;3;3;1;98;3;8;8;1;2;2;2;4;0;996;996;0;0;0;0;0;0;0;0;1;3;4;4;3;5;5;3;4;3;3;3;3;3;3;4;3;3;3;3;4;5;0;0;1;0;0;41;1;0;1;0;2;8332;2;3;0;2;1;0;1;0;14;98;1;99;1;3;1;7;40;3;1;4;3;1324;49;1;0;0;0;0;0;0;0;0;1;0;2;14;1;40;1;2;4110;84;1;2;2;2;2;2;2;2;2;1;0;1;0;96;96;96;96;2;1;97;5;5;8;5;8;1;4;0;2;1;0;0;4;3;3;4;0;0;0;0;0;0;"";1;2;1;0;0;0;0;0;0;"";1959;1956;1983;0;0;0;0;0;0;"";77;77;4;"11:49:09";3;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"N.P.";21;3;25;5;26;1;1;0;0;0;1;0;1;0;0;1;30;98,0;8;0;6;1;4;1;1;6;4;4;1;0;2;4;4;0,99977;1,7216;1,48058
3506;1024;6037;34;"N.P.";"N.P.";"N.P.";"N.P.";0;"N.P.";1;18;0;1;1;0;1;1952;2;0;4;5;1;0;0;1;99;5;"N.P.";1;4;1;5;1;5;3;1;3;2;2;4;5;1;1;1;1;1;2;3;3;3;3;3;3;1;12;3;4;5;2;2;2;2;998;998;996;996;0;0;0;0;0;0;0;0;8;8;8;8;3;1;4;1;4;4;4;3;3;3;3;3;3;3;2;0;6;99;0;0;1;0;0;18;1;0;1;0;1;9210;1;1;9211;1;1;0;1;0;3;5;2;0;3;3;2;96;0;1;1;10;3;3122;16;0;0;0;0;0;0;1;0;0;7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;1;1;3;1;97;2;6;1;5;0;1;2;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;"";0;0;0;0;0;0;0;0;0;"";0;0;0;0;0;0;0;0;0;"";0;2;4;"N.P.";3;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;1;2;2;2;2;0;0;2;0;"02/04/2025";2;4;25;3;0;0;1;0;0;0;1;0;1;0;0;1;73;1,0;9;9;2;3;2;7;12;0;0;0;0;2;2;2;1;0,99977;1,7216;1,70024
3506;221;6039;41;"21/03/2025";"16:12:15";"21/03/2025";"16:44:01";1904;"390;844";1;41;0;1;1;0;1;1982;12;0;4;5;1;0;0;12;99;9;"16:14:06";1;1;5;5;3;5;3;2;2;8;2;5;5;2;4;4;2;2;2;3;3;3;3;3;3;1;6;8;8;8;2;2;2;2;8;40;15;50;4;4;4;3;2;6;2;3;3;3;4;3;8;5;6;2;6;4;3;3;3;4;4;3;3;3;2;1;1;99;0;0;1;0;0;11;1;0;1;0;7;0;0;3;0;3;1;0;1;0;16;17;2;0;1;2;1;8;40;1;1;30;3;9998;999;1;0;0;0;0;0;0;0;0;1;0;1;16;1;40;1;2;2341;85;1;2;2;2;2;2;2;2;2;1;0;3;2;0;2;0;0;3;1;97;7;98;98;99;6;1;99;0;1;2;0;0;4;1;2;2;0;0;0;0;0;0;"";2;2;2;0;0;0;0;0;0;"";1983;2018;2020;0;0;0;0;0;0;"";9;5;4;"16:43:38";3;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"N.P.";21;3;25;5;32;3;1;0;0;0;1;0;1;0;0;1;42;12,0;0;0;7;98;9;1;11;7;2;4;1;2;2;99;4;0,99977;1,7216;1,65743
3506;258;6049;41;"21/03/2025";"21:30:50";"21/03/2025";"22:25:43";3291;"414;736";1;21;0;1;1;0;2;1995;12;0;4;5;0;0;1;98;98;8;"21:33:40";2;5;4;3;3;5;3;3;2;2;1;4;5;1;1;1;1;1;2;3;3;3;3;3;3;1;7;3;4;3;2;2;2;2;998;998;998;998;3;2;2;3;3;3;3;2;3;2;2;2;4;1;5;1;4;4;3;3;3;3;2;2;3;3;2;5;3;99;0;0;1;0;0;21;1;0;1;0;1;7122;98;1;7511;98;2;0;1;0;7;98;8;0;1;3;1;9;8;1;2;0;3;7515;2;1;0;0;0;0;0;0;0;0;1;0;1;7;1;8;1;2;8322;53;1;2;2;2;2;2;2;2;2;1;0;1;0;96;96;96;96;2;1;97;8;5;7;6;10;1;97;0;2;99;0;0;5;3;3;4;1;0;0;0;0;0;"";2;1;1;1;0;0;0;0;0;"";1963;1961;1994;1995;0;0;0;0;0;"";77;77;3;"22:24:14";3;8;6;99;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"N.P.";21;3;25;5;55;5;1;0;0;0;1;0;1;0;0;1;29;98,0;7;7;3;7;1;1;7;3;8;4;1;0;2;97;2;0,99977;1,7216;2,19021
